country,year,gdp_growth,gdp_cap,gdp,rural_pop
Afghanistan,2000,,,,77.922
Afghanistan,1999,,,,78.014
Afghanistan,1998,,,,78.105
Afghanistan,1997,,,,78.195
Afghanistan,1996,,,,78.286
Afghanistan,1995,,,,78.376
Afghanistan,1994,,,,78.466
Afghanistan,1993,,,,78.556
Afghanistan,1992,,,,78.645
Afghanistan,1991,,,,78.734
Afghanistan,1990,,,,78.823
Angola,2000,3.05462423430785,556.836318086553,9129594818.60749,49.913
Angola,1999,2.18148971840458,387.784316047502,6152922942.98032,51.103
Angola,1998,4.69114645093549,423.59366023208,6506229607.29432,52.29
Angola,1997,7.27427735460373,514.295223223424,7648377412.83277,53.475
Angola,1996,13.5443697551026,522.643807265256,7526446605.51712,54.654
Angola,1995,15.0000000288634,397.179450769472,5538749259.94714,55.831
Angola,1994,1.33936343647991,328.673294707808,4438321017.39068,57.0
Angola,1993,-23.9834174420578,441.200673252825,5768720421.61367,58.489
Angola,1992,-5.83828073313141,656.361755960006,8307810973.58848,59.961
Angola,1991,0.991359301460875,865.69272959239,10603784541.197,61.42
Angola,1990,-3.45009868360485,947.704182085371,11228764963.1618,62.856
Burundi,2000,-0.856864058424151,136.46397080034,870486065.883137,91.754
Burundi,1999,-1.00999999649815,128.939083280584,808077223.365746,91.964
Burundi,1998,4.74999999509613,144.493064021934,893770806.077641,92.17
Burundi,1997,-1.58999999685827,158.914669880487,972896267.915425,92.382
Burundi,1996,-7.99999999794095,143.402300109205,869033856.317093,92.588
Burundi,1995,-7.92000000374772,167.098915756122,1000428393.88528,92.789
Burundi,1994,-3.82999999619831,156.812301230653,925030590.153683,92.986
Burundi,1993,-6.24000000139044,161.887552946887,938632612.026359,93.177
Burundi,1992,1.00999837099631,190.489013951092,1083037670.60484,93.363
Burundi,1991,4.99683644802353,209.777897917403,1167398478.3459,93.545
Burundi,1990,3.49982214003705,208.146755438253,1132101252.51817,93.729
Kenya,2000,0.599695391613636,397.482658777519,12705357103.0056,80.108
Kenya,1999,2.30538859591873,414.679389813954,12896013576.7324,80.45
Kenya,1998,3.29021372309346,465.909800983488,14093998843.7334,80.778
Kenya,1997,0.474901920484101,445.877270251411,13115773737.5664,81.102
Kenya,1996,4.1468392671671,421.339270776481,12045858436.2399,81.421
Kenya,1995,4.40621652580508,325.778940846373,9046326059.98857,81.737
Kenya,1994,2.63278451859033,265.232256461517,7148145375.78545,82.048
Kenya,1993,0.353197256372624,220.069726813309,5751789915.05363,82.355
Kenya,1992,-0.799493959927631,324.137403815012,8209129171.73649,82.658
Kenya,1991,1.43834679108514,332.418959817486,8151479004.21334,82.957
Kenya,1990,4.19205097421585,361.328188915652,8572359162.85631,83.252
Mozambique,2000,1.1885205754578,313.568034141097,5553894130.24062,70.902
Mozambique,1999,11.7015426603697,341.480915153908,5888561099.32603,71.08
Mozambique,1998,9.9267570153407,333.842602685354,5613212495.5788,71.258
Mozambique,1997,11.3002320491695,303.511633776139,4976735801.65633,71.465
Mozambique,1996,11.2047325260369,260.857254995967,4163397088.64234,71.987
Mozambique,1995,2.25430077614848,187.357741017855,2900913488.49338,72.505
Mozambique,1994,6.53633682021018,186.848530380513,2793020800.85737,73.016
Mozambique,1993,10.5890975203533,190.552060981428,2738413378.55281,73.521
Mozambique,1992,-6.10224756848294,191.582153407028,2644983401.51958,74.02
Mozambique,1991,4.89999913888835,277.934279761303,3704316974.55559,74.513
Mozambique,1990,0.999992833134172,,,75.0
Zambia,2000,3.89732294341896,345.689554372848,3600683039.73254,65.198
Zambia,1999,4.6501897463741,335.712390719746,3404311976.54941,64.742
Zambia,1998,-0.38574614579035,358.555886217461,3537683046.02331,64.284
Zambia,1997,3.81400749718355,448.370206818558,4303281932.29365,63.824
Zambia,1996,6.21854648894293,385.152440867439,3597220962.00017,63.362
Zambia,1995,2.89766889341698,418.515070713827,3807067121.8609,62.896
Zambia,1994,-8.6254419523128,412.260984453725,3656647744.24858,62.428
Zambia,1993,6.79727404907118,378.12547185508,3273237853.35689,61.958
Zambia,1992,-1.73092217352566,376.498774421343,3181921787.7095,61.486
Zambia,1991,-0.0361333838823157,409.727573569357,3378882352.94118,61.011
Zambia,1990,-0.481072027781664,408.769534724677,3285217391.30435,60.593
Zimbabwe,2000,-3.05918976180379,563.057741053574,6689957600.0,66.242
Zimbabwe,1999,-0.817821016282892,580.07071808101,6858013100.0,66.653
Zimbabwe,1998,2.88521180627896,544.984162862031,6401968200.0,67.061
Zimbabwe,1997,2.68059417373978,731.948379686958,8529571600.0,67.466
Zimbabwe,1996,10.3606967698065,741.095726733151,8553146600.0,67.868
Zimbabwe,1995,0.158025651449094,623.209967404318,7111270700.0,68.268
Zimbabwe,1994,9.23519886106017,611.865711030192,6890675000.0,68.665
Zimbabwe,1993,1.05145862576934,591.720162491483,6563813300.0,69.06
Zimbabwe,1992,-9.01557008626092,619.372594032825,6751472200.0,69.501
Zimbabwe,1991,5.53178239609832,809.052124825449,8641481700.0,70.262
Zimbabwe,1990,6.98855293318542,841.972989778691,8783816700.0,71.012
